Title,Description
Junior Full Stack Developer - Remote - Indeed.com,"At Broadridge, we've built a culture where the highest goal is to empower others to accomplish more. If you’re passionate about developing your career, while helping others along the way, come join the Broadridge team.
 Itiviti
 Disability Assistance
 
Broadridge is an equal opportunity employer and makes employment decisions without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, protected veteran status, disability, age or any other protected status. ""Everyone Benefits from Diversity & Inclusion. Diverse & Inclusive Teams Drive Growth."" US applicants: Click here to view the ""EEO is the Law"" poster. If you are a qualified individual with a disability or a disabled veteran, you may request a reasonable accommodation in the event you are unable or limited in your ability to use or access the Company's career webpage as a result of your disability. You may request a reasonable accommodation(s) by calling  888-237-7769  or by sending an email to BRcareers@broadridge.com ."
Full Stack PHP Developer (LAMP) - Remote - Indeed.com,"Sitejabber, a leading destination for customer ratings and reviews with over 3M visitors each month, is looking for a Full Stack PHP Developer to join the team. This is a remote position with flexible working hours. The ideal candidate should be able to: Develop new backend and frontend features Maintain existing legacy code Troubleshoot and resolve issues Qualification Requirements: Excellent problem solving and communication skills Understanding of algorithms and data structures Proficiency in PHP or similar scripting language Fluency in SQL and relational databases Knowledge of HTML, CSS & Javascript Experience in the following is desirable, but not required: Understanding of MVC frameworks Deploying containerized applications using Docker Familiarity with CSS preprocessor tools Experience with GIT Previous work with AWS Job Type: Full-time Pay: $1,500.00 - $2,000.00 per month Schedule: 8 hour shift Monday to Friday Supplemental Pay: Bonus pay Work Location: Remote"
Full Stack Web Developer - Remote - Indeed.com,"Ricoma is looking for a  Full Stack Web Developer  like YOU! We are a global leader in the fashion and technology space, specializing in the R&D, design, manufacturing, and distribution of commercial embroidery machines and other apparel decoration products. We are looking to expand our Marketing department team with smart individuals that have a knack for code. Job Duties:  Work collaboratively to conceptualize and build web platforms and update and improve existing functionality as needed Test websites for cross-platform/cross-browser compatibility and ensure a responsive, mobile-first experience Write algorithms and backend logic to achieve desired functionality in conjunction with front-end user interface Manage all aspects relating to hosting and server/cloud solutions Maintain and update existing websites to ensure that content is up-to-date and make ongoing updates to layouts and functionality Optimize website for speed, SEO, and visibility to meet marketing goals Improve business processes through integration with APIs or other software to automate processes and increase efficiency across multiple functions Help execute marketing strategies by providing the optimization needed in our various marketing channels (landing pages, forms, marketing funnels, etc.) Work with UI/UX and design teams to implement the desired layout for internal and external platforms Job Requirements:  Bachelor's degree in Computer Science or related discipline is required Deep expertise and hands-on experience with front-end, server-side, and database technology, including languages and frameworks such as HTML, CSS, JavaScript, PHP, JQuery, and MySQL required Experience with vue.js framework and Laravel framework required Experience with VueX strongly preferred Demonstrated ability and experience working with APIs. Strong understanding of MVC and ability to create RESTful endpoints Writes clean code and comments code well, needs to be highly organized Development experience in eCommerce strongly preferred A keen eye for design and user experience Strong sense of logic development and problem-solving, including designing algorithms Strong passion for building products and processes in a fast-paced and high turnaround environment The ability to work quickly and with pinpoint accuracy is a must Candidate must have a strong understanding of UI/UX, cross-browser compatibility, general web functions, and standards. Job Type: Full-time Benefits: 401(k) 401(k) matching Dental insurance Health insurance Vision insurance Schedule: 8 hour shift Monday to Friday Application Question(s): Please submit a link (e.g. Github) or attach work samples for us to review. Applicants without submission will NOT be considered. Education: Bachelor's (Preferred) Experience: JavaScript: 1 year (Preferred) Node.js: 1 year (Preferred) Work Location: Remote"
"Junior Full Stack Developer - Orlando, FL - Indeed.com","Revature is looking to hire over 300 Junior Full Stack Developers in the next 4 weeks. As the fastest growing employer of emerging tech talent, we recruit all across the country. 
One day someone is going to ask you where you got your start…This is IT! 
With a wide range of Fortune 500 enterprises, government organizations and top systems integrators as our clients, we not only provide you with the skills needed to succeed through an employer-paid training program but will also give you the opportunity to put those skills to use, on projects that matter . 
What We Are Looking For 
College degree (Associates or Bachelors) 
Must be authorized to work in the US 
Strong desire to learn to code – No prior professional experience required. 
A natural problem solver 
Strong communication and interpersonal skills 
Willing to relocate anywhere in the US – Relocation assistance provided 
What We Offer 
Competitive salary 
Relocation & housing assistance 
Health, vision & dental insurance 
Paid time off 
Industry Certifications 
Life Insurance Policy 
401k 
Mentoring program and ongoing support throughout your entire Revature career 
Experience with the largest and most reputable companies in the US 
Apply Today. Interviews are going on now. 
#SoftwareEngineering 
Equal Employment Opportunity 
The Company is an equal opportunity employer. We will extend equal opportunity to all individuals without regard to race, religion, color, sex, pregnancy, childbirth or related medical conditions, sexual orientation, gender identity, national origin, disability, age, genetic information, marital status, veteran status, or any other status protected under applicable federal, state, or local laws. This policy applies to all terms and conditions of employment, including but not limited to, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, benefits, compensation and training. If you require an accommodation to work based on any of these protected factors, please notify the Human Resources Department, and the Company will evaluate the request and provide an accommodation in accordance with applicable law. 
We seek to comply with all applicable federal, state and local laws related to discrimination and will not tolerate the interference with the ability of any of the Company’s employees to perform their job duties. Our policy reflects and affirms the Company’s commitment to the principles of fair employment and the elimination of all discriminatory practices. 
"""
"Full Stack Developer - United, WV - Indeed.com","Company description IIFYM stands for If It Fits Your Macros and speaks specifically to fat loss from a macro nutrition and thus a caloric standpoint and is purely a means to improve body composition. Regardless if you like to eat pizza or paleo, IIFYM promotes the idea that if you eat less total calories than your body requires (while getting adequate protein, carbs, fat and fiber based on the needs of your own body, energy output and goals) you will lose weight at a steady and predictable rate. IIFYM makes fat loss (and muscle gain) easy !! This will be an Independant Contractor agreement and you will require eligibility to live in the USA to do that. Job description Make any improvements to website or systems as you see fit Maintain all software required to power IIFYM.com Update systems as necessary as per the team leader Developing front end website architecture. Build the front-end of applications through appealing visual design Develop and manage well-functioning databases and applications Participating in the design and creation of scalable software Writing clean, functional code on the front- and back-end Testing and fixing bugs or other coding issues Designing user interactions on web pages. Developing back-end website applications. Creating servers and databases for functionality. Ensuring cross-platform optimization for mobile phones. Ensuring responsiveness of applications. Working alongside graphic designers for web design features. Seeing through a project from conception to finished product. Designing and developing APIs. Meeting both technical and consumer needs. Staying abreast of developments in web applications and programming languages. Troubleshoot, debug and upgrade software Create security and data protection settings Build features and applications with a mobile responsive design Write technical documentation Job Type: Full-time Salary: $58,000.00 - $60,000.00 per year Benefits: Flexible schedule Schedule: 8 hour shift Application Question(s): You will be an Independant Contractor. Are you eligible to live in the USA? Work Remotely: Yes"
VueJS + NodeJS Full Stack Developer - Remote - Indeed.com,"Here you have the opportunity to lead innovative projects on modern technology as a  full-stack developer . Grow and learn from other world class engineers on our team! You can choose your own hours, get paid to learn new skills, and lead new projects from the ground up. We develop software for many top companies and startups around the world, as well build our own internal products. About the Role:  We are in need of a full time developer who is an expert in the following web technologies: - Node.js/Express - Vue.js A candidate should have their own computer and stable internet connection to apply. We want a full-time employee that is only working for us and able to commit around 40 hours per week. You are in charge of your own hours! Who we are:  Outliant is a US-based software engineering company. We create a lot of amazingly beautiful products! Perks of working with us:  - Work wherever you choose! - Very flexible work hours - Unlimited PTO and sick leaves - Non-working holidays depending on which country you’re in - 13th month bonus - Salary and salary increases - Financial support on online courses - Fun and casual work environment - We are a very diverse bunch! Contract length: 24 months Job Types: Full-time, Contract Pay: From $1,500.00 per month Benefits: Flexible schedule Paid time off Schedule: 8 hour shift Supplemental Pay: Bonus pay"
"Full Stack Developer - New York, NY - Indeed.com","Role : Full Stack Developer Location : (Fully Remote) Hire Type : Fulltime PRIMARY RESPONSIBILITIES INCLUDE :  · Support architecture and design of core technology and software (Linux, SQL, PHP, Java,) · Support engineering leadership to define the platform roadmap, identify technologies to utilize and integrate, and ultimately deliver on the technical solution. · Independently perform analysis, architecture and design activities QUALIFICATIONS – KEY SKILLS AND EXPERIENCE:  · BS/BA in Computer Science or related field preferred.  · Minimum of 3 years of experience as a software engineer · 2+ years in digital media and analytics · Great communication skills, energy and enthusiasm to be great Job Type: Full-time Salary: Up to $140,000.00 per year Benefits: 401(k) Dental insurance Health insurance Paid time off Schedule: Monday to Friday Education: Bachelor's (Preferred) Experience: SQL: 1 year (Preferred) Java: 1 year (Preferred) Linux: 1 year (Preferred) php: 1 year (Preferred) Work Remotely: Yes Speak with the employer +91 609-469-3611"
"Remote Full Stack Web Developer (HTML, CSS, JavaScript, and jQuery) - Remote - Indeed.com","Apply to this job here:  https://turing.com/Nrdee7 Only candidates with 3+ years of overall software development experience are eligible for this role. Turing.com is looking for a Full Stack Web Developer on behalf of an emerging startup that has developed an innovative platform for buying and selling non-fungible tokens. The selected candidate will be tasked with building the core product for the platform. The company is focused on developing the simplest way to create, purchase, and sell NFTs by eliminating the obstacles surrounding purchases and making it easier for creators to generate NFTs. This will be a long-term position that will allow developers to demonstrate their abilities. Here’s everything you need to know to become a Remote Full Stack Web Developer at Turing: http://turing.com/s/KAMUrF All geared up to become a Turing remote developer at a leading company? Take our exciting coding challenge: https://turing.com/Nrdee7 Job Responsibilities:  Manage and experiment with cutting-edge technologies to improve applications Provide guidance and mentorship to other members of the team Design and develop high-quality reusable code Develop clear and concise documentation for contributions Participate in all aspects of the company contribute to the roadmap Job Requirements:  Bachelor’s/Master’s degree in Engineering, Computer Science (or equivalent experience) At least 3+ years of relevant experience as a full-stack developer Extensive experience working with HTML, CSS, JavaScript, and jQuery Nice to have some experience working with Blockchain, Rust, Solidity, and Solera Eager to work in a fast-paced, highly ambiguous startup environment Great interpersonal and leadership skills Fluent in written and spoken English communication How to Become a Turing Developer:  Create your account on https://turing.com/Nrdee7 Fill in your basic information (name, number, location, previous salary, experience, etc.) Solve multiple-choice questions Schedule a technical interview Final Onboarding Perks & Benefits:  Earn salaries higher than local standards Work alongside a community of Google, Facebook, Microsoft engineers Experience rapid career growth No visa requirements to work with the best US companies Better work-life balance Apply today before the vacancies are filled. Looking for more exciting job opportunities? Find more Turing US software jobs now: https://turing.com/Y70dD7 Hear from developers themselves. Read Turing.com reviews here: https://turing.com/JE5nbr Fecha límite para postularse: 28/12/2021 Job Types: Full-time, Contract Benefits: Flexible schedule Education: Bachelor's (Preferred) Experience: Software Development: 3 years (Preferred) Language: English (Preferred) Work Remotely: Yes"
Full Stack Developer - Remote - Indeed.com,"Title : Full Stack Developer - Remote Company : SS&C Technologies Prime Vendor:   ICS Pay Rate : $70.00 C2C | 120K on W2 with Hashi Solutions. Client may hire Full Time. Rates are fixed and non-negotiable VISA:   Any Start Date : ASAP Position Type : Contract Location : Remote, NY, United States Description : Our organization is made up of software/systems engineers who build enterprise-grade back-end systems for claims administration. We are looking for engineers to join our scrum teams in enhancing and modernizing our claims administration system. We are looking for creative engineers and technologists: relevant industry experience is important, but less so than your demonstrated abilities, passion, and attitude. We're always improving and looking for individuals that enjoy being challenged and have a strong desire to make the engineering experience better for our users. Responsibilities: Design and implement applications and services supporting our claims administration system, APIs, and other surrounding technologies. Integrating with CI/CD, Kubernetes, VMs, data platforms, networking and storage. Implementing industry-wide best practices around microservice development. Build common components for reuse across the organization, maintaining documentation, demo applications and reviewing pull requests. Evolve our development ecosystem by exploring and prototyping new ways of meeting our business needs­­­­­. Minimum Qualifications: Engineering degree, related technical discipline or equivalent work experience. A solid foundation in object-oriented design and development. 8+ years of experience  with  Java, Spring/Spring Boot/Microservices Experience with modern JavaScript frameworks  (e.g. Angular, React or Vue.js). Experience with SQL and stored procedures is a must (SSIS, SSRS). Knowledge of  MySql and MongoDB  is preferred Experience learning new open source software, APIs, and frameworks. Exposure to automated testing, modern  CI/CD pipelines, Docker, Kubernetes . Familiar with bash, Git, JIRA, and agile methodologies. -Java, Spring/Spring Boot, Microservices -Angular + JavaScript -SQL/Oracle -Mixture of new development and enhancement/refactoring work Job Types: Full-time, Part-time, Contract Pay: Up to $70.00 per hour Education: Bachelor's (Preferred) Experience: MongoDB: 8 years (Preferred) Java: 8 years (Preferred) Work Location: Remote"
Full Stack JavaScript Developer - Remote - Indeed.com,"About us https://www.servocertified.com/pages/about-us Looking for a freelance style developer that we can use for projects + new features on ServoCertified.com (Hosted by Shopify) A recently released SDK for our online scheduling feature will allow us to make many customizations. This will be the first project. Job Types: Part-time, Contract, Temporary Pay: $55.00 per hour Benefits: Flexible schedule Schedule: Monday to Friday Experience: JavaScript: 1 year (Preferred) Work Location: Remote"
