Title,Description
"Online Data Analyst - USA - Chicago, IL - Indeed.com","Company Info:  We help companies test and improve machine learning models via our global AI Community of 1 million+ annotators and linguists. Our proprietary AI training platform handles all data types (text, images, audio, video and geo) across 500+ languages and dialects. Our AI Data Solutions vastly enhance AI systems across a range of applications from advanced smart products, to better search results, to expanded speech recognition, to more human-like bot interactions and so much more. Position Open:  The position will allow you to work from home as an Independent Contractor on a flexible schedule of up to 20 hours per week completing tasks in a web-based evaluation tool. The tasks will involve determining the relevance and accuracy of information by performing online research and referring to guidelines provided to you. You will be rating tasks to validate data. You will be helping to authenticate data that will be used in live online search tools and applications by millions of users across the world. Ideal Candidate:  Candidates for this position will need to have good research skills and a strong understanding of local and national information. Cultural, geographical, social media and current affairs knowledge are important in this role. Job Requirements:  · You must speak and write in  English  at an idiomatic level. · You must be living in  the United States · Working knowledge of local and national geographical areas · Passing an online evaluation to demonstrate capability of reading and applying the guidelines · Experience/know-how of using online maps, search engines and website research · You must have familiarity with current and historical business, media, sport, news, social media and cultural affairs in  United States · Access to and use of a broadband internet connection and associated computer and software to perform the work, all provided at your own expense Part-time hours: up to 20 per week This is a freelance independent contractor position. Job Types: Part-time, Temporary Pay: Up to $14.50 per hour Benefits: Flexible schedule Work Location: One location"
Business/Data Analyst (Entry Level)-Remote - Remote - Indeed.com,"Role:  Business/Data Analyst (Entry Level) 
 Location : Remote 
 Duration : Contract (6+Months) 
 
 Job Description
 Requirements:
 1+ Years of IT Experience Strong analytical background and critical thinking 
 Strong organizational skills and attention to detail 
 Requirements Gathering experience 
 Fluency in MS Excel 
 Ability to thrive in a fast-paced, high-volume, and deadline-driven environment 
 Engineering and Technical degree preferred. 
 Marketing / Advertising / Analytics-related experience is preferred but not necessary. 
 Strong attention to detail as well as strong written and Excellent Communication skills 
 Experience with a scripting programming language and SQL is helpful, but not required."
Junior Data Analyst - Remote - Indeed.com,"Remote | HQ in Oak Park, IL 
 
 Due to growing client demand, we have opportunities for data analysts at the junior, mid-, and senior levels. You’ll provide the data insights our programmatic and account teams need to optimize the performance of our clients’ recruitment media investments and manage them for maximum cost-effectiveness. Depending on your level of experience, you may assist in providing key data insights, internal and external dashboards, and reporting functions. 
 
 Responsibilities 
 Collect and clean data. 
Update existing dashboards. 
 Requirements 
 College degree OR some experience working with data 
Familiarity with Tableau or other BI tools"
Epidemiologist Analyst - Vaccine Data Team - Remote - Indeed.com,"Healthcare Staffing Professionals has an immediate need for an Epidemiology Analyst. The Epidemiology Analyst will assist with COVID-19 administrative efforts and assist in the planning, design, and implementation of health-related surveillance systems or epidemiologic studies, including outbreak investigation and analysis of epidemiology surveys for COVID-19. The candidate will also comply with Public Health training regarding confidential information related to personal information and support the various reportable disease teams on identifying and interpreting clusters, prioritizing investigations, and automating processes. The position will start immediately upon acceptance and employment clearance and is initially funded through 2/22/2022 with potential renewal. Pay Rate- $39.27/hr working 40 hours a week Benefits:  Paid Holidays, Paid Sick Time, PTO Healthcare Employer Fully Funded Healthcare (Anthem Blue Cross), Dental and Vision, Life Insurance from Initial Start Date. Shifts: M-F (100% Telework) Employee will be working a minimum of 8 hours a day between the hours of 7 AM to 7 PM for a total of 40 hours a week Job Duties a. Designs and conducts epidemiologic surveys, analyzes COVID-19 surveillance data, and assesses risk factors and trend data b. Standardize data collection workflows, variable definitions, create data report forms, and prepare reports on data c. Reviews epidemiological data collected in outbreak investigations and in case and contact interviews for internal inconsistencies, missing data, and follows up with relevant parties d. Comply with Public Health training regarding confidential information related to personal information; and e. Accept responsibility for other duties as assigned. Minimum Qualifications:  A Master's degree from an accredited college with specialization in epidemiology or its equivalent -OR- A Bachelor's degree from an accredited college in public health, social science, health science or related field -and- two years of experience assisting in the design, conduct, and evaluation of epidemiologic studies or investigations; and A valid California Class C Driver License, proof of vehicle insurance, and reliable transportation or the ability to utilize an alternative method of transportation when needed to carry out job-related essential functions. Desirable Qualifications:  · Experience in designing, conducting, evaluating, and interpreting epidemiological studies or investigations; and · Knowledge in communicable disease surveillance and control, including interpretation and evaluation of laboratory test results and statistical data. Job Types: Full-time, Contract Pay: $39.27 per hour Benefits: Dental insurance Health insurance Life insurance Vision insurance Schedule: Monday to Friday Education: Master's (Required) Work Location: Remote"
Epidemiology Analyst - Data Modernization - Remote - Indeed.com,"Healthcare Staffing Professionals has an immediate need for an Epidemiology Analyst. The Epidemiology Analyst will work on LADPHs data transition of IRIS surveillance and case management systems. The candidate will facilitate mapping of the disease processes and data elements, and help in creating and implementing data workflows, data dictionaries, and data quality assurance and quality improvement feedback loops. The candidate will also comply with Public Health training regarding confidential information related to personal information and support the various reportable disease teams on identifying and interpreting clusters, prioritizing investigations, and automating processes. The position will start immediately upon acceptance and employment clearance and is initially funded through 2/22/2022 with potential renewal. Pay Rate- $39.27/hr working 40 hours a week Benefits : Paid Holidays, Paid Sick Time, PTO Healthcare Employer Fully Funded Healthcare (Anthem Blue Cross), Dental and Vision, Life Insurance from Initial Start Date. Shifts: M-F (100% Telework) Employee will be working a minimum of 8 hours a day between the hours of 7 AM to 7 PM for a total of 40 hours a week Job Duties a. Support the various reportable disease teams on identifying and interpreting clusters, prioritizing investigations, and automating processes; b. Work on the transition of IRIS surveillance and case management system; c. Facilitate mapping of the disease processes and data elements, and help in creating and implementing data workflows, data dictionaries, and data quality assurance and quality improvement feedback loops; d. Comply with Public Health training regarding confidential information related to personal information; and e. Accept responsibility for other duties as assigned. Minimum Qualifications:  A Master's degree from an accredited college with specialization in epidemiology or its equivalent -OR- A Bachelor's degree from an accredited college in public health, social science, health science or related field -and- two years of experience assisting in the design, conduct, and evaluation of epidemiologic studies or investigations; and A valid California Class C Driver License, proof of vehicle insurance, and reliable transportation or the ability to utilize an alternative method of transportation when needed to carry out job-related essential functions. Desirable Qualifications:  · Experience in designing, conducting, evaluating, and interpreting epidemiological studies or investigations; and · Knowledge in communicable disease surveillance and control, including interpretation and evaluation of laboratory test results and statistical data. Job Types: Full-time, Contract Pay: $39.27 per hour Benefits: Dental insurance Health insurance Life insurance Vision insurance Schedule: Monday to Friday Work Location: Remote"
"DATA ANALYST I - Providence, RI 02908 - Indeed.com","Class Definition 
 GENERAL STATEMENT OF DUTIES: To be responsible for conducting full lifecycle activities of data analytics to include requirements and design, data cleaning, developing analysis and reporting capabilities, linking databases and datasets, and continuously monitoring performance and quality control plans to identify improvements in models; and to do related work as required. 
SUPERVISION RECEIVED: Works under the general supervision of a superior with some latitude for the exercise of independent judgement and initiative. Work is subject to review for conformance with prescribed state policies and procedures. 
SUPERVISION EXERCISED: As assigned, coordinates and reviews the work of subordinates; reviews work in progress and upon completion for adequacy, propriety, technical sufficiency, and conformity with instructions. 
 Illustrative Examples of Work Performed 
 To be responsible for conducting full lifecycle activities of data analytics to include requirements and design, data cleaning, developing analysis and reporting capabilities, linking databases and datasets, and continuously monitoring performance and quality control plans to identify improvements in models. 
To assure the integrity of project data, including data extraction, storage, manipulation, processing and analysis. 
To query and interpret data, analyze results using statistical techniques, develop predictive models using administrative datasets and provide ongoing reports. 
To acquire data from primary or secondary data sources and maintain databases/data systems. 
To provide data visualization and presentation of analytical findings to program owners and other stakeholders. 
To identify, analyze, and interpret trends or patterns in complex datasets. 
To link databases and datasets to generate integrated datasets. 
To filter and ""clean"" data, and review computer reports, printouts, and performance indicators to locate and correct code problems. 
To participate in ongoing decisions concerning data collections, study design, methodology, and data analysis. 
To locate and define new process improvement opportunities. 
To do related work as required. 
 Required Qualifications for Appointment 
 KNOWLEDGES, SKILLS AND CAPACITIES: A thorough knowledge of data models, regression analysis, database design development, data mining and segmentation techniques; a thorough knowledge of sophisticated reporting packages, databases and programming; a workingknowledge of statistical methodologies and techniques utilized for analyzing large datasets; the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy; the ability to conduct queries, draw conclusions, prepare written reports and present findings in a clear and concise manner; the ability to establish and maintain effective working relationships with state and municipal officials, superiors, subordinates and the public; and related capacities and abilities. 
EDUCATION AND EXPERIENCE: 
Education: Such as may have been gained through: graduation from a four-year college of recognized standing with a Bachelor's Degree in Mathematics, Economics, Computer Science, Information Management, Statistics, or a closely related field with similar technical and computational emphasis; and 
Experience: Such as may have been gained through: employment in a professional capacity as a data analyst or in a technical capacity involving computational emphasis or data analysis. 
Or, any combination of education and experience that shall be substantially equivalent to the above education and experience. 
 Supplemental Information 
 This position is responsible to maintain and develop systems capabilities and electronic data acquisition for KIDSNET and the Rhode Island Child and Adult Immunization Registry (RICAIR). Assures data quality, security, confidentiality, and integrity throughout the acquisition, processing, and data extraction processes for analysis or sharing with authorized partners. 
 
EXPERIENCE: 
 
High level of knowledge and experience with immunization, maternal and child health programs and data, HL7 data standards and messaging, principles of data quality control, security and confidentiality (including related federal and state laws such as HIPAA), and system acceptance testing are preferred."
Business Analyst (Entry Level)-Remote - Remote - Indeed.com,"Role:  Business Analyst (Entry Level) 
 Location:  Remote 
 Duration:  Contract (6+Months) 
 
 Job Description 
 Requirements: 
 
 1+ Years of IT Experience 
 Strong analytical background and critical thinking 
 Strong organizational skills and attention to detail 
 Requirements Gathering experience 
 Fluency in MS Excel 
 Ability to thrive in a fast-paced, high-volume, and deadline-driven environment 
 Strong attention to detail as well as strong written and Excellent Communication skills 
 Experience with a scripting programming language and SQL is helpful, but not required."
Junior Data Analyst - Remote - Indeed.com,"All roles with Chainlink Labs are globally remote based. We encourage you to apply regardless of your location. 
As a Junior Data Analyst, you will be a part of a fast growing Finance & Data team and will be instrumental in scaling the finance data analytics processes to maximize the timeliness, efficiency and accuracy of our data insight. 
 
This role will require a high level of adaptability, proactive attitude, and willingness to grow your knowledge within the blockchain industry. You will take ownership of certain process areas to support your team members whilst developing a deep understanding of data and analytics within a fast paced startup environment. 
 
This is a great opportunity to join a dynamic team and be a part of a rapidly evolving and exciting blockchain industry. 
 Your Impact
 Assist in building and implementing network monitoring tools using BI systems to help drive business decisions. 
Build data analytics tools using BI systems to capture data and provide insight on the Chainlink network as it continues to grow across multiple blockchains. 
Aid business process automation and streamlining. 
Assist with financial modeling requests from various stakeholders. 
Support development of role based permissions framework. 
Assist in crypto treasury management and payment processing 
Help with data validation and sanitization for various blockchain models. 
Deal with ad hoc requests from the wider business. 
 Requirements
 Genuine interest in the blockchain industry and understanding of the ecosystem. 
Knowledge of business intelligence systems and data structures (pivoted data, data relationships, primary keys etc..) is crucial as this will be a BI & data heavy role. 
2+ years proven experience of self motivated working in an analytical environment. 
Strong interest to learn and develop knowledge surrounding cryptocurrency data and analytics. 
Desire to take ownership over projects in a results-driven environment. 
Hold a flexible approach to working in a startup environment. 
Strong analytical skills with practical experience of turning data and analytics into actionable insights. 
Demonstrated time management skills. 
Ability to work under pressure to deadlines with a high level of accuracy and attention to detail. 
Strong approach to collaborating and communicating with finance and teams across the wider business. 
Our Principles 
At Chainlink Labs, we’re committed to the key operating principles of ownership, focus, and open dialogue. We practice complete ownership, where everyone goes the extra mile to own outcomes into success. We understand that unflinching focus is a superpower and is how we channel our activity into technological achievements for the benefit of our entire ecosystem. We embrace open dialogue and critical feedback to arrive at an accurate and truthful picture of reality that promotes both personal and organizational growth. 
About Chainlink Labs 
Chainlink is the industry standard oracle network for connecting smart contracts to the real world. With Chainlink, developers can build hybrid smart contracts that combine on-chain code with an extensive collection of secure off-chain services powered by Decentralized Oracle Networks. Managed by a global, decentralized community of hundreds of thousands of people, Chainlink is introducing a fairer model for contracts. Its network currently secures billions of dollars in value for smart contracts across the decentralized finance (DeFi), insurance, and gaming ecosystems, among others. The full vision of the Chainlink Network can be found in the Chainlink 2.0 whitepaper. Chainlink is trusted by hundreds of organizations—from global enterprises to projects at the forefront of the blockchain economy—to deliver definitive truth via secure, reliable data. 
This role is location agnostic anywhere in the world, but we ask that you overlap some working hours with Eastern Standard Time (EST). 
We are a fully distributed team and have the tools and benefits to support you in your remote work environment. 
Chainlink Labs is an Equal Opportunity Employer. 
#LI-Remote"
Data Analyst - Entry Level - Remote - Indeed.com,"We are looking to hire a  Data Analyst  to join our team at Fourth! This entry-level role provides analytical support to our Global Operations team and will be responsible for turning data into actionable insights by recognizing trends and anomalies in large, multi-varied datasets. This is a great opportunity for someone possessing strong quantitative and analytical skills.
 What You'll Be Doing. . .
 Serve as an internal resource for key managers in Service Operations on all analytics needs. 
Actively engage in the collection of measures across lines of business 
Compile, catalog, and analyze data to support internal reporting 
Interpret data to answer key strategic questions 
Prepare materials (spreadsheets, charts, presentations, etc.) that summarize data and draw conclusions to support key business discussions 
 What You Need to Have. . . 
Attention to detail and ownership of tasks 
Strong interpersonal skills and clear verbal and written communication skills 
Critical thinking and time management skills 
Intermediate proficiency in Microsoft Excel 
Proficiency in the Microsoft Office suite of products 
 Our Story 
In July 2019 Fourth joined forces with HotSchedules to become the global leader in end-to-end restaurant and hospitality management technology solutions. Together, the merged company now represents the world’s largest and only provider of end-to-end restaurant and hospitality management solutions for customers across the globe and of all sizes—from a single location or franchisee restaurant to a global restaurant or hotel chain. The combined company’s complete software-as-service (SaaS) solution suite including: scheduling, time & attendance, applicant tracking, training, inventory management / procurement, HR / benefits and payroll services now serves customers in 120,000 locations worldwide and is supported by a dedicated, unified team across offices in the US, UK, Bulgaria, China, Australia and UAE. 
Fourth is an Equal Opportunity Employer 
All qualified applicants will receive consideration without discrimination because of sex, gender identity, gender expression, sexual orientation, marital status, race, color, age, national origin, military status, religion, or disability or any other legally protected status."
Junior Data Analyst - Remote - Indeed.com,"Our client has multiple contract roles for Junior Level Data Analysts. The Junior Level Data Analyst will work with data manipulation in Excel. Skills required for the Junior Data Analyst: Excel (beginner level is appropriate) Good understanding of basic algebra. Strong mathematical skills, the Junior Level Data Analyst must be able to analyze inferred information from the end clients. The Junior Data Analyst will be assisting on testing the changes for the team's developers. The Junior Data Analyst will need to provide communication to identify a problem and pass that information to the engineers to troubleshoot. Jira experience is a plus. Job Types: Full-time, Contract Pay: $18.00 - $20.00 per hour Benefits: Dental insurance Health insurance Vision insurance Schedule: 8 hour shift Monday to Friday Work Location: Remote"
