Title,Description
"Junior Software Developer - Alpharetta, GA 30022 - Indeed.com","Ready to take the first step toward a career as a Software Developer? Would you like a guided path to fast-track your career? If so, then this program could be an excellent opportunity for you. What We Offer:  As a GenSpark Associate, you don’t just get a job - you also get job-ready training. During your first 12 weeks with GenSpark, we invest in you by providing intensive technical and soft skill training to help you transition from education to career. After your initial training is complete, you’ll start working on real-world IT projects alongside our clients. This emphasis on training and real experience provides the perfect platform to launch your career in tech. Training focuses on Full Stack Development, including Web Design Essentials (HTML5, CSS3, JavaScript, React etc.), Java Development (Core Java, Spring, Hibernate, etc.) and MySQL. Program graduates become Software Developers. You will design and implement scalable software solutions for one of our clients, many of which are Fortune 500. Responsibilities will include full-lifecycle software development, working with end-users to develop innovative solutions and solving complex business problems with next-gen technologies. What you'll need:  Be able to work for any US employer without sponsorship Be open to relocation College degree (Associates or Bachelors) or recent IT bootcamp Strong communication skills paired with a desire to work as a software consultant Familiarity with software development and exposure to Java/ Python/JavaScript/ C++/ CSS/HTML This is a unique chance to develop your career with a rapidly growing technology company. We have a national footprint, and partner with companies that range from Fortune 500s to industry innovators and disruptors. Program graduates will be qualified to build and support enterprise level applications as they develop the next generation of technology. So, if you have the talent, we have the program to help you grow your IT career. Please apply today for immediate consideration. Recent college graduates with no experience are encouraged to apply. You should be willing to travel or relocate within the US for projects. Applicants should be US citizens or Green Card holders. COMPENSATION: Annual overall compensation will be in line with industry norms and includes an excellent benefits package. Relocation assistance will be provided based on project locations. About Pyramid Consulting: GenSpark is a division of Pyramid Consulting, a $310M IT Consulting firm. Pyramid Consulting is among the Top 100 largest minority and privately owned IT Consulting firms in the U.S. The success of our clients is facilitated through our ability to provide full-spectrum support via our development centers – from a single consultant under their management, at their site, to full turnkey solutions onsite and offshore. Pyramid Consulting, Inc. is an Equal Employment Opportunity Employer. All applicants hired will be subject to a background check and drug screening. You can apply directly to our program here: http://bit.ly/applytopyramid For more information, visit www.GenSpark.net Job Types: Full-time, Contract Pay: $45,000.00 - $60,000.00 per year Schedule: 8 hour shift Day shift Application Question(s): Are you open to relocation within the US? We are unable to sponsor or transfer Visas. Are you a current US Citizen or Green Card holder? Work Location: One location"
Junior Software Developer - Remote - Indeed.com,"Duties:  Maintain existing codebase (PHP/MySQL/React) Debug and respond to dev-related help tickets Refactor and improve existing codebase from PHP to React Create automation scripts to download and ETL various datasets into MySQL Work closely with IT Required Expertise:  PHP (for Apache Server and CLI) MySQL React Desirable but not required : Tableau AWS Lambda/API Gateway/DynamoDB Jenkins Zend Framework for PHP Typescript NodeJS Hours: Pacific Time business hours, full-time Location: Full-time remote, possible on-site visits occasionally in SLO Salary: Negotiable based on experience Please include your salary request with your resume and how you rank yourself on each of the required and desired skills, on a scale of 1-10 for each skill. We offer a dynamic work environment with immense opportunity to grow, competitive compensation and a comprehensive benefits package including health, dental and vision benefits, company-matched 401(k), life insurance, Short and Long Term Disability Insurance, PTO and paid holidays. Criminal background checks and drug screen are required once position accepted. Related keywords: Junior Software Developer, MySQL, PHP, React Job Type: Full-time Pay: $19.00 - $22.00 per hour Benefits: 401(k) 401(k) matching Dental insurance Employee discount Health insurance Health savings account Life insurance Paid time off Referral program Retirement plan Vision insurance Schedule: 8 hour shift Monday to Friday COVID-19 considerations: We have minimal vendors or patients coming on site for urgent matters only. All desks are 6+ feet apart with walls to keep all employees safely social distancing. Those employees who can work remotely are working remotely so only required staff are onsite Application Question(s): On a scale of 1-10, 1=low skill and 10=high skill, how do you rate your skill in PHP (for Apache Server and CLI)? On a scale of 1-10, 1=low skill and 10=high skill, how do you rate your skill in MySQL? On a scale of 1-10, 1=low skill and 10=high skill, how do you rate your skill in React? On a scale of 1-10, 1=low skill and 10=high skill, how do you rate your skill in Tableau? On a scale of 1-10, 1=low skill and 10=high skill, how do you rate your skill in AWS Lambda/API Gateway/DynamoDB? On a scale of 1-10, 1=low skill and 10=high skill, how do you rate your skill in Jenkins? On a scale of 1-10, 1=low skill and 10=high skill, how do you rate your skill in Zend Framework for PHP? On a scale of 1-10, 1=low skill and 10=high skill, how do you rate your skill in Typescript? On a scale of 1-10, 1=low skill and 10=high skill, how do you rate your skill in NodeJS? Education: High school or equivalent (Preferred) Experience: Software development work: 1 year (Preferred) PHP: 1 year (Required) React: 1 year (Required) MySQL: 1 year (Required) Work Location: Fully Remote Work Remotely: Yes Work Location: Remote"
Junior Software Developer - Remote - Indeed.com,"Live Building Systems is a cloud based, cross-platform technology to track utility consumption and building efficiency. This smart monitoring system analyzes and diagnoses inefficiency in real time, providing solutions to reduce waste and save money. We are currently in search of a Junior Software Developer to create and maintain software and network systems. The right candidate is someone who is capable of helping develop critical products for our clients, on top of offering excellent technical support for our existing infrastructure. This will involve using pre-existing tools to analyze data and compiling findings into an easily digestible format, as well as the creation of new tools to further increase customer’s understanding of their consumption across a variety of different utilities.This is an excellent opportunity for a motivated and inquisitive junior level developer or analyst who is looking to not just maintain existing software, but also create new features and products from the ground up. What you will do at LBS:  Collaborate on design, then code, test, support, and run the systems you create with our in house development team Constantly participate in identifying and implement effective improvements to our software development process. Innovate creative solutions to difficult problems while honing your technical skills and learning new technologies Utilize proprietary software to troubleshoot installed hardware Ad-hoc duties, as needed Requirements:  Bachelor’s Degree in Computer Science or related field Experience in web and software development Experience with data analytics Demonstrated knowledge of web technologies including HTML5, CSS3 and Javascript Demonstrated knowledge of Python Excellent software development, design, and documentation skills. You aim to create software that works reliably and can be tested and maintained. Ability to work independently and multi-task effectively Strong attention to detail Job Type: Full-time Pay: From $57,185.00 per year Benefits: 401(k) Dental insurance Health insurance Health savings account Life insurance Vision insurance Schedule: Monday to Friday Education: Bachelor's (Preferred) Experience: REST: 1 year (Preferred) Java: 1 year (Preferred) Work Location: Remote"
Software Developer - Remote - Indeed.com,"CastleBranch is seeking a PHP Developer to join their Engineering team. The Software Developer will be responsible for programming and analysis, including coding modifications, maintenance, and updating of software, debugging, and documenting programs under the direction of the team manager. This role also provides input and planning for future development and leads the project team. Essential Duties and Responsibilities include the following. Other duties may be assigned. Designs, analyze, and document new and existing applications, with the detail needed to instruct others. Experience with Laravel PHP framework Provides direction in design meetings and for team members. Assists team in the planning of projects, including identifying task groups, time estimates, and recommended assignments. Communicates with team leads/managers and tester(s) during development. Monitors software for problems; locates errors in applications and corrects them. Assists Application Support and Application Support Programmer in resolving issues when needed. Improves efficiency of applications where possible. Researches and suggests frameworks and other methods of reducing coding. Develops test plans and process May be required to work on-call during peak periods Languages and Experience: Required: PHP MVC Framework Testing- PHP Unit Package management/Composer SugarCRM Preferred: Laravel (Strongly Preferred) Git PERL Benefits: 401(k) 401(k) matching Dental insurance Disability insurance Employee assistance program Health insurance Life insurance Paid time off Vision insurance Job Type: Full-time Pay: $70,000.00 - $80,000.00 per year Benefits: 401(k) 401(k) matching Dental insurance Employee assistance program Employee discount Flexible schedule Flexible spending account Health insurance Health savings account Life insurance Paid time off Parental leave Vision insurance Schedule: 8 hour shift Monday to Friday Education: Bachelor's (Preferred) Experience: PHP: 3 years (Preferred) Laravel: 3 years (Preferred) Work Location: Fully Remote Work Location: Remote"
"Software Engineer (Early Career) - Austin, TX - Indeed.com","Summary 
 Posted: Dec 9, 2021 
 Weekly Hours:  40 
 Role Number: 200320633 
 The people here at Apple don’t just build products — we craft the kind of wonder that’s revolutionized entire industries! It’s the diversity of those people and their ideas that supports the innovation that runs through everything we do, from amazing technology to industry-leading environmental efforts. Join Apple, and help us leave the world better than we found it! At Apple, we work every single day to build products that enrich people’s lives. Do you love working on challenges that no one has solved yet? Imagine what you could do here. At Apple, great ideas have a way of becoming great products, services, and customer experiences very quickly. Bring passion and dedication to your job and there's no telling what you could accomplish. Apple’s Partner Solutions and Technology team is building high impact applications for our channel partners, and we are looking for a mid level software engineer to join us in solving problems that directly impact the business. We are looking for hard-working Software Engineers with an experience in developing large-scale systems to join our friendly, collaborative team. 
 Key Qualifications 
 Proven strong programming skills in Java 
 Experience in J2EE technologies, JSON APIs and micro-services architecture preferred 
 Experience with build and deployment tools, e.g., Git, Maven, etc 
 Familiarity in NoSQL database systems such as Elasticsearch, MongoDB highly desirable 
 Solid understanding of Application and Web Servers, e.g. Tomcat, Jetty, Apache, Nginx, etc 
 Excellent problem solving, critical thinking and communication skills 
 Experience in Cloud technologies will be a plus 
 Description 
 Do you want to work in faster paced environment ? Do you dream about solving problems with code? How about the building blocks of a large scale system? If so, come join PS&T team to build and scale our high impact applications for channel partners. If you are a Software Engineer who cares about outstanding code, looks for bugs as a hobby and fixes them with their eyes closed this is the right place. The ideal candidate is a developer with experience in Java, Elasticsearch, Kafka and related technologies, has a keen eye for usability, savors tech challenges and thrives with delivering customer value and satisfaction. 
 Education & Experience 
 BS degree in computer science or equivalent field or MS degree. 
 Additional Requirements"
"Jr. Software Dev Engineer - Detroit, MI - Indeed.com","Qualifications: 
 
 College Student 
 Graduate date December 2022 or later 
 Ability to work min 16 hours week 
 Programming Language 
 Systems knowledge 
 
 Jr Software Dev Engineer:  Job Description
 Are you passionate about innovation and developer experience at scale? Are you interested in working on an amazing team that is building new experiences from the ground up? Amazon is seeking excellent student programmers to work in an internship program located in Detroit.
 
Our Internship Program
 
 Our internship program is special in several respects: 
 
 We offer work year-round, 16 hrs/week while in school and full-time during breaks. Working schedules are re-arranged each semester to accommodate class schedules. 
 We offer excellent mentoring. We require our full-time software developers to be able and willing to mentor exceptionally capable young developers. 
 We give our interns responsibilities and roles which will prepare them to enter the workforce after graduation with “real world” software programming experience. 
 
We pay competitive market rates to our interns. Students who participate in our program routinely say that the real reason they’re here is for the valuable learning experience, especially because of the uniform excellence of the team they work with, the mentoring offered by experienced developers, and the challenge of being a principal contributor to software products. They say it’s like taking an additional practicum course that complements their university experience.
 
Our software development is mostly in Java, some JavaScript, HTML, and CSS for Web.
 
 Preferred Qualifications: 
 
 Solid knowledge of JAVA or equivalent 
 Advanced programming classes completed at University 
 Networking knowledge 
 
"
"UI & visualization developer - Salt Lake City, UT 84109 - Indeed.com","Responsible to develop nView's surgical user interface and 3D imaging viewer. Front end developer responsible for the UI, 3D visualization. Works with the SW team to implement interfaces to backend. Skills: JavaScript, HTML/CSS, WebGL, WebSockets, linear algebra (3D transformations and projection models). Good knowledge of JavaScript & Bachelors degree required. Job Type: Full-time Pay: $60,000.00 - $90,000.00 per year Benefits: Health insurance Paid time off Schedule: Monday to Friday Ability to commute/relocate: Salt Lake City, UT 84109: Reliably commute or planning to relocate before starting work (Required) Education: Bachelor's (Required) Experience: Front-end development: 1 year (Required) CSS: 1 year (Required) Work Location: One location"
"IT Developer + Apprentice - Tempe, AZ 85281 - Indeed.com","IT Developer + Apprentice:  In this role, you will provide support to consulting and technical teams by contributing to various stages of the software development life cycle. You will assist the team by providing production and maintenance support, conducting root-cause analysis of issues, ensuring high quality and on-time customer service. You will play a critical role by contributing to the knowledge management process while interfacing with internal teams and driving higher efficiency. This opportunity is for early-career starters interested in breaking into the tech industry while gaining real-world experience. We believe in the earn-while-you-learn model, so you will work full-time with a global tech company while also participating in NEW's IT ServiceNow Apprenticeship program. The apprenticeship is 100% online and offers small cohorts, learning hands-on from industry experts, certifications, portfolio building, career coaching, mentoring, plus the ability to earn additional credits towards a bachelor's degree. Eligibility Requirements:  High school diploma, Associates Degree, or some college (must not have received a Bachelor’s degree yet) Knowledge in HTML, CSS, and JavaScript, or the ability to learn quickly Experience with Microsoft Office tools, creating/maintaining excel spreadsheets Attention to detail and problem-solving ability Ability to analyze data and communicate ideas clearly Responsibilities include but not limited to:  Participate in designing and detailing processes related to the software development life cycle Troubleshoot issues, document process, review checklists, and develop reference implementations Provide production support – monitor applications, batch jobs, servers, network devices, databases, operating systems, raise and acknowledge tickets Support technical team in deployment with activities to ensure a smooth go-live of new processes, products, or systems Understand the existing system and processes to document Reverse knowledge transfer to document the process of support and maintenance In addition to the above, based on the area of work like application development, infra support, cyber support, Microsoft office, service now, associated areas of responsibility will apply New Apprenticeship:  In addition to working with our partner company, a global tech consulting firm, the right candidate will spend 10-15 hrs per week participating in the New Apprenticeship's IT ServiceNow Apprenticeship program. Apprentices receive accelerated IT upskilling through expert training, mentoring, and coaching. There is no cost for the apprenticeship program. It is included as a benefit of employment. Why become an Apprentice:  As an apprentice, you'll start with a cohort of around ten apprentices and complete the program over 12 months. You will also receive support from top industry coaches and mentors to progress through your personal and professional goals, skills roadmap, while also demonstrating new knowledge and competencies through hands-on application with your portfolio project. You'll complete milestones along the way like earning digital certifications to validate your skills, module portfolio projects, individual portfolio projects, while also working with other apprentices to participate in ongoing training and development focused on your professional and technical skills. Best of all, you are a contributing member of your cohort team, putting forward ideas, taking on responsibilities, and making choices about how you will make the apprenticeship experience your own all while applying what you learn weekly in your new role. Interview Process:  All applicants will go through the New Apprenticeship interview process, which includes an application, a short project, and an interview with a member of our team. Apprentice Accepted candidates will have an additional interview directly with our partner company's hiring manager Please apply for the New Apprenticeship's IT ServiceNow Apprenticeship program here to be considered for this position: https://share.hsforms.com/1AICMfvNnQZi7e_EcxGWZAQamoi Job Type: Full-time Pay: $35,000.00 - $45,000.00 per year Benefits: Dental insurance Health insurance Life insurance Paid time off Schedule: 8 hour shift Monday to Friday Work Location: One location"
"Entry Level Software Developer - Vienna, VA 22182 - Indeed.com","Discover the feelings of  Camaraderie and Family while being technically challenged to grow! Responsibilities:  Design and develop dynamic Enterprise Web and Mobile applications Cyber Security, Supply Chain/Logistics, or Finance for a variety of clients like Verizon, Capital One, and Cardinal Health in small teams. Work in a fast-paced, hands-on capacity in a client-facing role, seeing first-hand the impact of your work on a daily basis. Desired Skills/Traits:  Computer Science, Math, or Engineering fundamentals. Proficiency or ability to quickly learn JavaScript, APIs, SQL/NoSQL, and New Technologies. High Energy / Attitude. Creative Problem Solving. We take care of our EAI Family:  FREE catered lunch DAILY. Stipend ($50/week) provided during COVID work from home. Paid Training (CodeAcademy, Coursera, NoFluffJustStuff, Google DevFest, pre-paid courses, mentoring). FREE snacks/drinks - Multiple varieties of soft drinks, juices, coffee, tea, Gatorade, beer, wine & regular social gatherings. * EAI has NEVER HAD LAYOFFS* from its beginnings in 2001. We have carried our folks through multiple tough economic cycles (2002, 2009/10, current pandemic) and will continue to do so! We are growing and looking for individuals who want to be part of a fun, passionate, and highly accomplished team with Hackathons and regular events like Poker and Movie Night to keep the spirits alive. Combine that with daily catered lunch from such restaurants as Cava, Chipotle, La Plaka, Jason’s Deli, and Shake Shack and you can see that we strive to foster a family-friendly culture that emphasizes teamwork, camaraderie, and openness. Come experience why so many employees have been with EAI for 5 to 10+ years and continue to make it their home as the  EAI Family  expands. Uwb7vH1KCc Job Type: Full-time Pay: $70,000.00 - $85,000.00 per year"
"Software Developer - Shoreview, MN 55126 - Indeed.com","Seeking a Software Developer experienced with .NET and MS SQL Server. The ideal candidate will be comfortable working with C#, MVC, Entity Framework and SQL Server Management Studio (T-SQL). 
In the Software Developer role, you will be part of a small team responsible for highly visible solutions as well as back-end processes that support day-to-day operations. 
Primary responsibilities include contributing to the design, development, and deployment of new data-driven solutions. Additional responsibilities include enhancements to existing web applications and APIs.
 This position calls for a developer with the ability to work well independently and as part of a team. The experience and desire to work with a variety of mostly Microsoft technologies is essential. 
MDS is currently working on several new development projects and is seeking a talented individual to join our development team. This is an opportunity to be involved in the development of some exciting new solutions utilizing the latest and greatest technologies. 
 
Minimum Qualifications 
 Experience with C#, ASP.NET MVC, Entity Framework or similar ORM 
 Experience with Microsoft SQL Server
 Proficiency in T-SQL 
 Familiarity working with RESTful web services 
 Bachelor’s Degree in Computer Science, Information Systems, tech Certification(s), or equivalent job-related experience / training in object-oriented programming 
 Desired Attributes 
 Passion for quality with strong customer focus 
 Exceptional written and verbal communication skills 
 Nice to have 
 Experience with BIDS/SSDT and SSRS 
 Experience with EF Core 
 Experience working with online payment processors (Stripe, Authorize.Net, Cybersource, TSYS, PayPal, etc.) 
 Familiarity with Azure DevOps 
 Benefits 
 Paid Time Off (Vacation, Sick, and Holiday) 
 Medical, Dental, and Vision Insurance 
 Life Insurance 
 IRA 
 Weekly Pay 
 Access to Training & Educational Material
 MDS Communications is one of the nation’s top performing telephone fundraising companies, serving numerous nationally known non-profit, conservative political, religious, and conservative public policy organizations such as Habit for Humanity, Operation Smile, the RNC, American Bible Society, and the National Right to Life Committee. 
 Pay: $65,000.00 - $90,000.00 per year 
 Position located in Shoreview, MN area.
 #MDS545"
