Title,Description
Telemedicine Registered Nurse - Remote - Indeed.com,"GoodRx is America’s healthcare marketplace. Each month, millions people visit goodrx.com to find reliable health information and discounts for their healthcare — and we’ve helped people save $30 billion since 2011. We provide prescription discounts that are accepted at more than 70,000 pharmacies in the U.S., as well as telehealth services including doctor visits and lab tests. Our services have been positively reviewed by Good Morning America, The New York Times, NBC News, AARP, and many others. 
Our goal is to help Americans find convenient and affordable healthcare. We offer solutions for consumers, employers, health plans, and anyone else who shares our desire to provide affordable prescriptions to all Americans. 
We’re committed to growing and empowering a more inclusive community within our company and industry. That’s why we hire and cultivate diverse teams of the best and brightest from all backgrounds, experiences, and perspectives. We believe that true innovation happens when everyone has a seat at the table and the tools, resources, and opportunities to excel. 
With that said, research shows that women and other underrepresented groups apply only if they meet 100% of the criteria. GoodRx is committed to leveling the playing field, and we encourage women, people of color, those in the LGBTQ+ communities, and Veterans to apply for positions even if they don’t necessarily check every box outlined in the job description. Please still get in touch - we’d love to connect and see if you could be good for the role! 
Please provide your list of state licenses with your application. We will only be reviewing candidates who have a NLC compact license. Preference will be given to candidates who have all (or close to) 50 state licenses. 
 What we're looking for: 
The telemedicine registered nurse (RN) uses technology in order to perform nursing assessments and deliver education and care in a professional manner. RNs are responsible for serving as intermediaries between the patient and physicians/nurse practitioners. 
Responsibilities in the EMR include visit triage, preparing visits for clinicians, patient counseling and education, clarifying medications/allergies/side effects, urgent issues, assisting the patient support team, referrals, and case management. 
Other responsibilities include ordering labs and communicating lab results, submitting prior authorizations, and prescription communication with pharmacies. 
We are seeking nurses to help provide clinical coverage during the early mornings, daytime, evening, and late evening weekdays and weekends. 
This is an independent contractor and part-time position, as we cannot guarantee enough hours to constitute a full-time position. 
Work can be completed on your computer, and your location does not matter. 
 Requirements: 
Registered Nurse (RN) 
Graduate of an accredited school within the United States 
Holds a compact nursing license. Preference will be given to candidates who have all (or close to) 50 state licenses 
Minimum of five years in clinical field 
Preferred telemedicine experience of at least one year (e.g. Nurx, Roman, etc.) 
Tech-savvy and understand the importance of data security. Help us build the EMR of your dreams 
Provide excellent medical care and enjoy communicating with patients through messaging and phone calls 
Have excellent grammar and attention to detail 
 GoodRx is America's healthcare marketplace. The company offers the most comprehensive and accurate resource for affordable prescription medications in the U.S., gathering pricing information from thousands of pharmacies coast to coast, as well as a telehealth marketplace for online doctor visits and lab tests. Since 2011, Americans with and without health insurance have saved $30 billion using GoodRx and million consumers visit goodrx.com each month to find discounts and information related to their healthcare. GoodRx is the #1 most downloaded medical app on the iOS and Android app stores. For more information, visit www.goodrx.com."
"Virtual Registered Nurse - Kenilworth, NJ - Kenilworth, NJ - Indeed.com","Title:  Virtual Registered Nurse - Kenilworth, NJ 
 
We are seeking remote Registered Nurses to provide patient support over the phone and via video chat. We are currently forming a team of highly capable registered nurses to support the growth of our telephonic patient support services offering. 
 
Remote Patient Support Registered Nurse: 
 
 This opportunity is a work-at-home/telephonic/virtual position. 
 You will work at home as part of a groundbreaking team of registered nurses. 
 Each nurse on the team will talk with patients over the phone. Timeliness and responsiveness are vital to the goal of providing stellar and compliant customer service. 
 These patients are looking for answers to their questions or they will require medical or eligibility screening or are being provided with information/reminders about their next appointment. 
 Patients may need assistance that results in access to and/or compliance/adherence with the prescribed treatment for their disease."
"Registered Nurse– (Immediate Need in El Paso) - Chaparral, NM - Indeed.com","GardaWorld Federal Services is actively seeking qualified Registered Nurses for our medical program in El Paso, TX! Position Description: Position: Registered Nurse (RN) Location: El Paso, TX (Fort Bliss) Contract Duration: 6+ months Duties: Provides general RN care in a clinic setting at Fort Bliss in El Paso, TX Rate: $65/hr Hours per week: 60 (40 regular + 20 OT at 1.5x pay) Qualifications: Must possess a valid Registered Nurse (RN) license Must be Texas Licensed Must possess a valid BLS/CPR card Must be able to successfully pass a background check Job solicitations and advertisements for employees will bear the statement “Equal Opportunity Employer/Veterans/Disabled” or “EOE/Vets/Disabled” Job Types: Full-time, Contract Pay: $65.00 per hour Schedule: 12 hour shift Work Location: One location"
"Community Health Nurse - Dauphin County, PA - Indeed.com","THE POSITION 
 How would you like the opportunity to positively impact the lives of Pennsylvania newborns by joining our newborn screening follow-up team? 
 DESCRIPTION OF WORK 
 The community health nurse (CHN) provides newborn screening, follow-up case management services for all newborns in the state of PA who are screened and received abnormal screening results for genetic, metabolic and point-of-care screenings covered under the Newborn Child Testing Act, the Infant Hearing Education, Assessment, Reporting and Referral (IHEARR) Act, and the Newborn Child Pulse Oximetry Screening Act. The CHN provides day to day consultation and technical assistance to hospitals, midwives, and other health care facilities and providers regarding their roles and responsibilities in newborn screening. The CHN also educates parents on the importance of timely newborn screening and works with parents during the case management process to ensure babies receive necessary follow-up and diagnostic screenings to promote desirable health outcomes. Community health nurses attend regional technical advisory board meetings, newborn screening conferences and participate in webinars hosted by specialists in the field of newborn screening to further their knowledge and collaborate with peers. The nurse in this position works both independently and as a team member with five other community health nurses. The overall mission of Division of Newborn Screening and Genetics is to protect and promote the health and well-being of every child born in Pennsylvania by ensuring the opportunity for newborn screening is in place in all birthing hospitals, birthing centers, and home delivery settings. 
 
Additional details regarding the duties of this position may be found in the position description. 
 
Work Hours and Additional Information: 
 
 Full-time employment. 
Work Hours: Monday through Friday, 8:00 AM - 4:00 PM; 30 minute lunch. 
Multiple positions may be filled from this posting. 
You will have the opportunity to work from home (telework) with the understanding that in-person office trainings and meetings at your headquarters will be required as assigned by your supervisor. In order to telework, you must have a securely configured high-speed internet connection. If you are unable to telework, you will have the option to report to the headquarters office in Harrisburg. 
You will receive further communication regarding this position via email. Please check your email, including spam folders, for these notices. 
 REQUIRED EXPERIENCE, TRAINING & ELIGIBILITY 
 If you are selected for hire and you are  not   a current Commonwealth employee, this position requires you to be fully vaccinated against COVID-19 prior to the start of your employment. You are considered to be fully vaccinated two weeks after your second dose of a two-dose COVID-19 vaccine (e.g., the Moderna or Pfizer-BioNTech vaccines) or two weeks after receiving a one-dose COVID-19 vaccine (e.g., the Johnson & Johnson vaccine). If you are not fully vaccinated prior to the start of your employment, or you have not received an accommodation exempting you from the Commonwealth’s vaccination policy based on a medical or religious reason, your job offer will be rescinded. 
 
If you are selected for hire and you  are   a current Commonwealth employee, this position requires you to be either fully vaccinated prior to starting in this position   OR   undergo weekly testing for COVID-19. Unless you have received an accommodation exempting you from the Commonwealth’s vaccination policy based on a medical or religious reason, if you are not fully vaccinated prior to starting in this position and you refuse to undergo weekly COVID-19 testing, your job offer will be rescinded. 
 
 Qualifications : 
Necessary Special Requirement  – Possession of a current license to practice as a Registered Nurse issued by the Pennsylvania State Board of Nursing;  OR  possession of a non-renewable temporary practice permit issued by the Pennsylvania State Board of Nursing. 
Condition of Employment  – Employees possessing non-renewable temporary practice permits must obtain licensure as a Registered Nurse within the one-year period as defined by the Pennsylvania State Board of Nursing. 
Must meet PA residency requirement – For more information on ways to meet PA residency requirements, follow the link and click on Residency. 
Do  not  submit resumes, cover letters, and similar documents. These documents will  not  be reviewed and the information contained therein will not be considered for the purposes of determining your eligibility for the position or to determine your score. Information to support your eligibility for the position must be provided on the application (i.e., relevant, detailed experience/education). 
If you are within 60 days of graduating from a school of nursing approved by the State Board of Nursing, you are eligible to apply for this job posting. At the time of appointment to a position, you must show proof of possession of a current, valid PA temporary practice permit or PA Registered Nurse license. 
Must be able to perform essential job functions. 
Veterans:  Pennsylvania law (51 Pa. C.S. §7103) provides employment preference for qualified veterans for appointment to many state and local government jobs. To learn more about employment preferences for veterans, go to www.employment.pa.gov/Additional%20Info/Pages/default.aspx and click the Veterans' Preference tab or contact us at ra-cs-vetpreference@pa.gov. 
 
Telecommunications Relay Service (TRS): 711 (hearing and speech disabilities or other individuals). 
 
The Commonwealth is an equal employment opportunity employer and is committed to a diverse workforce. The Commonwealth values inclusion as we seek to recruit, develop, and retain the most qualified people to serve the citizens of Pennsylvania. The Commonwealth does not discriminate on the basis of race, color, religious creed, ancestry, union membership, age, gender, sexual orientation, gender identity or expression, national origin, AIDS or HIV status, disability, or any other categories protected by applicable federal or state law. All diverse candidates are encouraged to apply. 
 EXAMINATION INFORMATION 
 Completing the application, including all supplemental questions, serves as your exam for this position. No additional exam is required at a test center (also referred to as a written exam). 
Your score is based on the detailed information you provide on your application and in response to the supplemental questions. 
You must provide complete and accurate information or: 
you may be disqualified. 
 Learn more about our Total Rewards by watching this short video!   Health & Wellness 
We offer multiple health plans so our employees can choose what works best for themselves and their families. Our comprehensive benefits package includes health coverage, vision, dental, and wellness programs.* 
 
 Compensation & Financial Planning 
We invest in our employees by providing competitive wages and encouraging financial wellness by offering multiple ways to save money and ensure peace of mind including multiple retirement and investment plan options.  
 
 Work/Life Balance 
We know there’s more to life than just work! Our generous paid leave benefits include paid vacation, paid sick leave, six weeks of paid parental leave, military leave, and paid time off for most major U.S. holidays, as well as flexible work schedules and work-from-home opportunities.*  
 
 Values and Culture 
We believe in the work we do and provide continual opportunities for our employees to grow and contribute to the greater good. As one of the largest employers in the state, we provide opportunities for internal mobility, professional development, and the opportunity to give back by participating in workplace charitable giving. 
 
 Employee Perks 
Sometimes, it is the little “extras” that make a big difference. Our employees receive special employee-only discounts and rates on a variety of services and memberships. 
 
For more information on all of these Total Rewards benefits, please visit www.employment.pa.gov and click on the benefits box. 
 
 Eligibility rules apply."
Clinical Review Nurse - Remote - Indeed.com,"The Clinical Review Nurse performs clinical pre-screening of claims to identify clinical errors. Determines medical appropriateness and identifies experimental and investigational items or services. These findings are shared with our negotiation team to provide them with leverage during the negotiation process. Performs in-depth audits based on accepted billing and plan policy exclusions, clinical payment errors and overpayments. Conducts a review of the facility bill as it compares with medical records and coverage policies. Maintains timely professional communication with both the providers, internal teams, and management to achieve savings for clients. Responds to provider and client questions and process appeals. Essential Duties and Responsibilities:  Assist Negotiation team with provider communication, obtaining a corrected claim or letter of agreement, based on audit findings and financial benchmarks. Finalize IRO (Independent Review Organization) savings by identifying savings, requesting plan documents, Medical records, create submission, finalize report. Communicates all findings to clients by providing a Bill Summary Report that can be reviewed with clients at their request. Evaluates and responds to bill reconsideration requests . Communicates with providers to query or to resolve billing discrepancies / Respond to Appeals. Educates staff/clients on any updated information on codes/edits. Maintains a consistent department bill review prescreen turnaround time. Standard TAT for Bill Review pre-screen – 24 hours from UB/IB receipt. Assists Sales Managers in their marketing of Bill Review. Formulates and documents department processes and policies. Tracks and trends bill review. Assists direct supervisor in achievement of departmental goals and suggestions that will increase revenue relating to Bill Review. Complies with/supports HIPAA standards. Education and/or Work Experience Responsibilities:  3-5 years of auditing, claims, review and/or billing experience with a healthcare organization / payor side required Sufficient clinical experience in medical surgical, and or critical care Developed knowledge of Investigative /Experimental reviews, HCD, implant repricing, Level of care reviews, DRG reviews. Bill and concurrent review experience CPC and CIC certification preferred Working knowledge of industry coding, ICD-10, CPT, HCPCS and Revenue codes etc. Has experience with Microsoft Office, google Suite, and SalesForce applications, Excellent communication skills, both verbal and written. Working knowledge of Health Insurance, Medicare guidelines and various healthcare program. Knowledge of CMS guidelines Job Type: Full-time Pay: $85,000.00 - $90,000.00 per year Benefits: 401(k) 401(k) matching Dental insurance Disability insurance Employee assistance program Health insurance Life insurance Paid time off Vision insurance Schedule: Day shift Monday to Friday Education: Associate (Required) Work Location: Remote"
"Cruise Line RN - Lynchburg, VA 24501 - Indeed.com","Aspen Medical USA  is hiring Shipboard Nurse to join our team supporting medical services to employees and guests onboard a world-class award-winning cruise line. In this position, you will assist the Doctor with patient care and a variety of administrative responsibilities in relation to the care of guests and crew. The ideal candidate is passionate about hospitality and customer service driven. The position would be working in a clinic-type-setting as ship nurse. There will be other nurses and doctors aboard as well. 45 day contract with the option to extend. Qualifications:  Current and in good standing Register Nurse licensing. A minimum of three (3) years of recent experience is required in the fields of Emergency Room, Intensive Care Unit, Cardiac Critical Care Unit, or Trauma Unit. Intermediate to Advanced verbal and written level of English is required. Must provide a chronology of all medical activities since graduation from nursing school. Requirements:  Diploma /degree from an accredited nursing school or university. Current certification in BLS & ACLS. Must have a valid passport (not to be expiring within 6 months). Must have original qualifications to board a ship (Passport) All requested documents must be translated into English. Must be able to deploy within a week. Must be able to deploy for 45 days at a time. However 15 days of your assignment you will be quarantine and it is paid. You will have a schedule that will be provided to you from the charge nurse once you get to the ship. Must be fully covid vaccinated (declare the type, date, and proof of vaccine certificate). The payout for the assignment is $22,500. We also pay for your traveling to get to the port (Air Fare). Benefits:  Accommodation: Single crew cabin Meals: The company provides (Breakfast, Lunch, and Dinner) Aspen Medical  is a global provider of guaranteed, innovative, and tailored healthcare solutions across a diverse range of sectors - providing from a single paramedic to a full spectrum solution. Join a diverse company with global operations and an uncompromising dedication to delivering world-class healthcare, wherever we're needed. Aspen Medical  provides equal employment opportunities to all employees and applicants for employment and prohibits discrimination and harassment of any type without regard to race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by federal, state or local laws.' ' Work Remotely No Job Types: Full-time, Part-time, Travel nursing, Contract Pay: $15,070.00 - $15,120.00 per month Medical Specialty: Critical & Intensive Care Emergency Medicine Trauma Medicine Schedule: 10 hour shift 8 hour shift Education: Bachelor's (Preferred) Experience: Nursing: 2 years (Preferred) License/Certification: BLS Certification (Preferred) RN (Required) Passport (Required) Covid Vaccine (Required) Work Location: One location"
Survey Registered Nurse RN - Remote - Indeed.com,"The Survey Registered Nurse RN is responsible for the performance of timely, accurate mock survey, as assigned, for Skill Home Health, Behavioral Health, and Hospice providers. This position will assist in the review and approval of plans of correction developed by the Administrator to address survey deficiencies identified during the mock survey. The RN works collaboratively with Operations, Human Resources, Compliance, and other service areas to achieve optimal, accurate survey results. At Elara Caring, we care where you are and believe the best place for your care is where you live. We know there’s no place like home, and that’s why our teams continue to provide high-quality care to more than 60,000 patients each day in their preferred home setting. Wherever our patients call home and wherever they are on their health journey, we care. Each team member has a part to play in this mission. This means you have countless ways to make a difference as a Survey Registered Nurse by keeping a team of elite healthcare professionals operational. To continue to be an industry pioneer delivering unparalleled care, we need a Survey Registered Nurse who shares our commitment to distinction and progress. Are you one of them? If so, apply today! Why Join the Elara Caring mission? You’ll work in a collaborative environment You’ll be rewarded with a unique opportunity to make a difference Outstanding compensation package Comprehensive onboarding with mentorship and preceptor support Ongoing Continuing Education (CEs) available at no cost Opportunities for advancement Medical, dental, and vision benefits after 30 days of employment 401K match and paid time off for full-time staff Fleet vehicles available, per company policy COVID-19 Prepared with Personal Protective Equipment and precautions What is Required? Certified Registered Nurse required Bachelor of Science in Nursing preferred 3 years of experience in home health and hospice with extensive knowledge of Medicare Conditions of Participation (CoPs) and other applicable regulations Experience as a surveyor or leading surveys preferred Excellent communication and organization skills, with ability to be adaptable Demonstrated ability to correctly interpret and apply the CoPs and other applicable regulations for home health and hospice Reliable transportation to perform job tasks; 50% travel expected You will report to the Survey Preparedness Director. This is not a comprehensive list of all job  responsibilities ; a full   job description   will be provided. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender, gender identity or expression, or veteran status. We are proud to be an equal opportunity workplace. Job Type: Full-time Pay: From $100,000.00 per year Benefits: 401(k) 401(k) matching Dental insurance Health insurance Life insurance Paid time off Travel reimbursement Vision insurance Medical Specialty: Home Health Schedule: Monday to Friday Education: Bachelor's (Preferred) Experience: Home care: 3 years (Preferred) Medicare: 3 years (Preferred) License/Certification: RN (Required) Willingness to travel: 50% (Required) Work Location: Remote"
"Mobile IV Nurse - Miami, FL - Indeed.com","Mobile IV Medics (MIVM) is a mobile healthcare business that specializes in providing in-home IV fluids, vitamins, and medicine. MIVM is looking to add qualified practitioners (RN, NP, PA, etc.) to provide treatments to clients. This will consist of travel to client locations, general care activities, starting peripheral IVs, and administering IV treatments. This position is completely mobile. The expectation is that you prioritize responding to calls as they come into the queue for the days you're on call. Potential hires will have excellent bedside manner, customer service, be extremely proficient in communication, and be able to start difficult peripheral IVs. Successful candidates will function efficiently and quickly to meet the needs of our client base. Please note: Candidates will function as independent contractors (1099) not as an employee and pay is lucrative for the time invested. This position requires frequent travel in and around Miami, FL. Please visit our website to learn more about who we are and what we do: www.mobileivmedics.com Job Types: Full-time, Part-time, Contract Pay: $5,000.00 - $16,000.00 per month Benefits: Malpractice insurance Schedule: 12 hour shift Monday to Friday On call Weekend availability Education: Associate (Preferred) Experience: Nursing: 1 year (Preferred) License/Certification: BLS Certification (Required) RN license (Required) Work Location: On the road"
"Occupational Registered Nurse - Lake Buena Vista, FL - Indeed.com","Job Summary: 
The desire to help people is in your bones: That’s why you are a nurse. Imagine how great it would be to use your skills to help the people who “make the magic” at the happiest place on earth – Walt Disney World! Disney’s state-of-the-art, fully staffed medical clinic is located in the heart of the Parks so that if a fellow Cast Member (that’s what we call co-workers) gets injured or sick, we can give them the fastest, most comprehensive treatment possible. More importantly, we focus on helping our cast improve their overall health and wellbeing. 
 
Our clinics have the fast pace and ever changing case flow as an urgent care clinic, but with a more holistic view of health improvement and not just one time treatments. If you have passion for occupational health and overall health improvement with the energy, talent and desire to join our group, please apply today! 
 
We proudly and happily welcome veterans of the US Armed Forces. 
 
Responsibilities: 
As an experienced registered nurse, most of your responsibilities will be familiar to you – think vital signs, triage, treating illnesses, administering meds, advising how to lead a safe, healthy lifestyle – as well as administrative tasks like collecting data, completing workers’ compensation forms and insuring that all OSHA rules are scrupulously followed. You will make sure the highest standards of quality and confidentiality are met at all times, and will be as precise with your documentation as you are with your hands-on patient work. While you will work a minimum of one weekend day per week, and you may be scheduled on holidays, you will never have to work a “graveyard” shift, and after your training period, you will have two consistent days off per week so you can plan your life. Every day as an Occupational Registered Nurse is different. On any given day, you might: 
Assess Cast Members who present with illness or injury, make a determination of occupational vs. non-occupational mechanism, and perform necessary treatment, per your license 
Perform regulatory-required medical surveillance exams, as indicated by current OHSA standards 
Administer travel immunizations, per physician orders 
Lead/participate in Disney’s Resort Health and Safety programs 
Collaborate with physicians, your fellow nurses and the Wellness Team on a daily basis 
Communicate with doctors, your peers and Health Services leadership on matters that require attention 
Uphold The Walt Disney Company’s standards of business conduct 
Document and maintain accurate, detailed records related to the treatment of Cast Members in accordance with Occupational Health and Safety Administration (OSHA) 
Interact with Worker’s Compensation, Safety and Disney physicians/outside providers to facilitate treatment and process work-related illnesses or injuries 
Quality check all work daily to catch any errors or omissions 
Attend a local continuing education class or go for an additional certification – Disney will not only pay for most approved courses, but will also pay your annual certification fee 
Stroll through the Parks anytime you like using your Gate pass, and enjoy the incredible benefits and perks of being a Disney Cast Member! 
Basic Qualifications: 
Here is what you will need to be successful in the job: 
Minimum. 3+ years Registered Nurse Experience 
Current Florida RN license, current CPR Certification, and physical ability to perform all procedures 
Strong verbal, written and interpersonal communication skills – and compassionate, genuine bedside manner 
Knowledge of OSHA and Worker’s Compensation regulations, record keeping and procedures 
Physical stamina to stand for long periods of time to walk, lift, squat, push, pull and/or carry heavy objects, up to 25 lbs. 
Excellent hearing and ability to see, and full use of hands for patient assessment and to control, handle or feel objects and tools 
Sharp time management skills and deep desire to give the best possible care and patient service 
Willingness and ability to work in a team environment 
Scrupulously protects patient confidentiality 
Flexibility to work on holidays/weekends, as well as occasional overtime 
Knowledge of basic computer programs and ability to work with a laptop/desktop 
Valid Florida driver’s license 
Preferred Qualifications: 
It would be helpful if you also had: 
Experience working in a fast-paced hospital, clinic, or similar environment 
Deep knowledge of EMR or Health Management System 
Proficiency in Microsoft Office programs 
Occupational Health Nursing experience 
Required Education 
Bachelor’s Degree in Nursing is REQUIRED 
Master’s Degree and/or Certified Occupational Health Nurse (XOHN/COHN-S) is preferred 
Preferred Education 
Master’s Degree and/or Certified Occupational Health Nurse (XOHN/COHN-S)"
"Telehealth-Nurse Texas RN or LPN License, Bilingual English/Hindi - Remote - Indeed.com","Telehealth Nurse (RN or LPN) - Remote Patient Monitoring GatewayMD is a telehealth company  that delivers digital technology and services to clinicians seeking to monitor their patient's chronic conditions via smart devices. GatewayMD enhances access between patients and providers by implementing the proper tools and technology for clinicians to extend care beyond office walls. GatewayMD's turnkey remote patient monitoring solution:  1. Integrative software that gathers patient data from connected devices: blood pressure cuffs, scales, blood-glucose meters, etc. 2. Clinical staff (that would be you!) that provides monitoring and care management services to patients enrolled under the physicians general supervision. 3. Telemedicine platform that allows patients to schedule video visits with their care team. What value does GatewayMD provide to patients and providers?  Clinicians can remotely monitor their patient's with chronic conditions. Through our software and devices, we enable providers to remotely track their patient's biomarkers (blood pressure, blood glucose levels, weight, etc.), increasing clinical outcomes and profitability through CMS and third party reimbursement. By leveraging GatewayMD’s full-service solution, practices can enroll more patients into their RPM program while decreasing overall workload. If you enjoy working in an innovative culture where you can make an impact starting on your first day, then GatewayMD might be the right place for you! We are currently seeking nurses to join our team. This is a strictly commission based role.  Our nurses have a list of patients that they remotely monitor and communicate with on a regular basis. It is a great opportunity for seasoned, passionate, and caring nurses to work from home while creating their own schedule. What will you do? You will be responsible for remotely monitoring chronically ill patients that use smart devices to send you their biometrics (blood pressure, blood glucose, and/or weight) for you to track. This role requires to you to spend at least 20 minutes with each patient you manage per month - phone call, text, or video calls. What will make you successful in this role? A passion for connecting and building strong relationships with patients. Excellent communication skills including speaking, writing, and follow up. Ability to manage your time effectively and efficiently. Driven, ambitious, and entrepreneurial spirited individuals. Ability to manage and follow multiple patients. Excellent technology skills: ability to navigate a platform consisting of health data Interested? Submit your application today and come join our growing team! Job Types: Full-time, Part-time, Contract Pay: $1,600.00 - $3,600.00 per month Schedule: Monday to Friday Supplemental Pay: Commission pay Work Location: Fully Remote Work Location: Remote"
